uptime_id,ts,site_count,ts_updated
3263,"2018-09-25 10:00:00",15,"2018-09-25 10:00:00"
3262,"2018-09-25 09:30:00",14,"2018-09-25 09:30:00"
3261,"2018-09-25 09:00:00",12,"2018-09-25 09:00:00"
3260,"2018-09-25 08:30:00",10,"2018-09-25 08:30:00"
3259,"2018-09-25 08:00:00",7,"2018-09-25 08:00:00"
3258,"2018-09-25 07:30:00",3,"2018-09-25 07:30:00"
3257,"2018-09-25 00:00:00",2,"2018-09-25 07:00:00"
3256,"2018-09-24 10:30:00",3,"2018-09-24 23:30:00"
3255,"2018-09-24 00:00:00",2,"2018-09-24 10:00:00"
3254,"2018-09-23 11:00:00",3,"2018-09-23 23:30:00"
3253,"2018-09-23 07:30:00",2,"2018-09-23 10:30:00"
3252,"2018-09-23 04:30:00",3,"2018-09-23 07:00:00"
3251,"2018-09-23 04:00:00",2,"2018-09-23 04:00:00"
3250,"2018-09-23 00:00:00",3,"2018-09-23 03:30:00"
3249,"2018-09-22 20:30:00",6,"2018-09-22 23:30:00"
3248,"2018-09-22 18:30:00",25,"2018-09-22 20:00:00"
3247,"2018-09-22 16:30:00",26,"2018-09-22 18:00:00"
3246,"2018-09-22 15:00:00",25,"2018-09-22 16:00:00"
3245,"2018-09-22 14:00:00",26,"2018-09-22 14:30:00"
3244,"2018-09-22 13:00:00",25,"2018-09-22 13:30:00"
3243,"2018-09-22 10:00:00",24,"2018-09-22 12:30:00"
3242,"2018-09-22 08:00:00",23,"2018-09-22 09:30:00"
3241,"2018-09-22 07:30:00",22,"2018-09-22 07:30:00"
3240,"2018-09-22 04:00:00",23,"2018-09-22 07:00:00"
3239,"2018-09-22 02:30:00",22,"2018-09-22 03:30:00"
3238,"2018-09-22 00:00:00",23,"2018-09-22 02:00:00"
3237,"2018-09-21 16:00:00",38,"2018-09-21 23:30:00"
3236,"2018-09-21 14:30:00",39,"2018-09-21 15:30:00"
3235,"2018-09-21 12:00:00",38,"2018-09-21 14:00:00"
3234,"2018-09-21 11:30:00",36,"2018-09-21 11:30:00"
3233,"2018-09-21 11:00:00",35,"2018-09-21 11:00:00"
3232,"2018-09-21 10:30:00",34,"2018-09-21 10:30:00"
3231,"2018-09-21 10:00:00",32,"2018-09-21 10:00:00"
3230,"2018-09-21 09:30:00",31,"2018-09-21 09:30:00"
3229,"2018-09-21 09:00:00",29,"2018-09-21 09:00:00"
3228,"2018-09-21 08:30:00",28,"2018-09-21 08:30:00"
3227,"2018-09-21 08:00:00",27,"2018-09-21 08:00:00"
3226,"2018-09-21 07:30:00",26,"2018-09-21 07:30:00"
3225,"2018-09-21 06:30:00",24,"2018-09-21 07:00:00"
3224,"2018-09-21 00:00:00",23,"2018-09-21 06:00:00"
3223,"2018-09-20 19:00:00",26,"2018-09-20 23:30:00"
3222,"2018-09-20 18:00:00",25,"2018-09-20 18:30:00"
